                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.76203,                 4.1742,                 1.1786,                0.06799,                0.30908,                 0.0631,                0.05723,                0.43309,                 3.3059,                 1.0063,              2.858e-05,              2.858e-05,              2.858e-05
                      1,                 0.7271,                 3.0574,                 1.1534,                0.32424,                0.75469,                0.38879,                0.38284,                0.23418,                 2.9254,                0.88282,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      2,                0.59069,                 2.0963,                 1.0276,                0.36842,                0.79806,                0.51181,                0.47562,                0.28399,                  5.364,                0.90396,             0.00011206,             0.00011206,             0.00011206
                      3,                0.52336,                 2.2985,                0.92556,                0.68203,                0.66667,                0.69007,                0.63954,                0.31782,                 2.4753,                0.85936,             0.00015252,             0.00015252,             0.00015252
                      4,                0.35758,                 1.6287,                0.90577,                0.41144,                0.68785,                0.66969,                0.66436,                0.23014,                 2.5109,                0.79536,             0.00019214,             0.00019214,             0.00019214
                      5,                0.40432,                 1.2878,                0.93005,                0.66742,                0.77778,                0.78862,                0.78862,                  0.223,                 2.7519,                0.77298,              0.0002309,              0.0002309,              0.0002309
                      6,                0.52504,                 1.6912,                0.83087,                0.58233,                      1,                0.80733,                0.79093,                0.28948,                 1.3482,                0.81081,             0.00026882,             0.00026882,             0.00026882
                      7,                0.38155,                 1.1991,                0.88794,                0.55371,                0.77451,                0.75583,                0.71498,                0.28964,                 2.0205,                0.82523,             0.00030589,             0.00030589,             0.00030589
                      8,                0.48215,                 1.2456,                0.91788,                0.53577,                0.77778,                0.61682,                0.60815,                0.25922,                  2.329,                0.85022,             0.00034211,             0.00034211,             0.00034211
                      9,                0.52187,                 1.3076,                0.95258,                0.61965,                0.75662,                0.78434,                0.77612,                0.23779,                 2.0769,                0.82283,             0.00037749,             0.00037749,             0.00037749
                     10,                0.35142,                 1.2401,                0.85997,                0.64959,                0.77687,                0.85214,                0.83651,                0.25232,                 1.6606,                0.81448,             0.00041201,             0.00041201,             0.00041201
                     11,                0.38825,                0.89234,                0.87934,                0.69985,                0.77778,                0.81979,                0.77944,                0.28437,                 1.5873,                0.81685,             0.00044568,             0.00044568,             0.00044568
                     12,                0.40829,                0.95935,                0.86754,                 0.9539,                0.77778,                0.79046,                0.72711,                0.36184,                 1.3824,                0.83561,             0.00047851,             0.00047851,             0.00047851
                     13,                0.35899,                0.85743,                0.83207,                0.87893,                0.77778,                0.78479,                0.73701,                0.33606,                  1.318,                0.82828,             0.00051049,             0.00051049,             0.00051049
                     14,                0.37563,                 0.8629,                0.86052,                0.65665,                0.83071,                0.82817,                0.80073,                0.37235,                 1.8165,                0.83189,             0.00054161,             0.00054161,             0.00054161
                     15,                0.39649,                0.91242,                 0.8617,                0.70222,                0.80139,                 0.8465,                0.80653,                0.39264,                   2.92,                0.84681,             0.00057189,             0.00057189,             0.00057189
                     16,                0.36833,                 0.7887,                0.84778,                0.48362,                0.56041,                0.74148,                0.62529,                0.43547,                 2.2097,                0.86455,             0.00060132,             0.00060132,             0.00060132
                     17,                0.42841,                0.94661,                0.83284,                0.54373,                0.86326,                0.79292,                0.65777,                0.42236,                 1.9396,                0.86875,              0.0006299,              0.0006299,              0.0006299
                     18,                0.47919,                0.79093,                0.88616,                0.71698,                0.88889,                0.88458,                0.81307,                0.40553,                 1.6105,                0.85251,             0.00065764,             0.00065764,             0.00065764
                     19,                0.28703,                 3.3719,                0.60037,                0.71023,                      1,                   0.94,                0.81073,                0.53473,                 1.9123,                0.97282,             0.00068452,             0.00068452,             0.00068452
                     20,                0.40152,                0.72704,                0.86303,                0.68122,                0.97626,                0.91433,                0.81482,                0.50292,                 1.7563,                0.93782,             0.00071056,             0.00071056,             0.00071056
                     21,                0.28692,                 4.5303,                0.61973,                0.50149,                      1,                0.77433,                0.69285,                0.49585,                 1.6701,                0.93287,             0.00073574,             0.00073574,             0.00073574
                     22,                0.38744,                 1.2177,                0.87485,                0.56434,                      1,                0.77417,                0.72475,                0.45332,                 1.7602,                0.90464,             0.00076008,             0.00076008,             0.00076008
                     23,                0.39307,                0.88449,                0.86189,                 0.6491,                0.88889,                0.89417,                 0.7706,                0.43836,                 1.8272,                0.89051,             0.00078357,             0.00078357,             0.00078357
                     24,                0.43729,                0.79094,                0.87766,                0.73125,                0.77778,                  0.896,                0.79167,                0.45356,                   1.68,                0.91154,             0.00080621,             0.00080621,             0.00080621
                     25,                0.51635,                0.88041,                0.92516,                0.52548,                0.66582,                0.70338,                0.63886,                0.47549,                 1.9681,                0.95426,               0.000828,               0.000828,               0.000828
                     26,                0.65639,                 1.1727,                 1.0194,                0.64729,                0.75884,                 0.8025,                0.74185,                0.41477,                 1.4169,                0.84634,             0.00084894,             0.00084894,             0.00084894
                     27,                0.41712,                0.85635,                0.89326,                0.44321,                0.88889,                0.60581,                0.57042,                0.35882,                 1.8187,                0.81019,             0.00086903,             0.00086903,             0.00086903
                     28,                0.46119,                0.96912,                0.92898,                0.44321,                0.88889,                0.60581,                0.57042,                0.35882,                 1.8187,                0.81019,             0.00088828,             0.00088828,             0.00088828
                     29,                 0.4418,                0.96451,                0.92451,                 0.3811,                 0.7622,                0.56683,                0.54679,                0.39166,                  2.096,                0.83665,             0.00090667,             0.00090667,             0.00090667
                     30,                0.70861,                 1.1092,                 1.0948,                0.32694,                0.92275,                0.61298,                0.58261,                0.37288,                 2.0746,                0.81166,             0.00092422,             0.00092422,             0.00092422
                     31,                0.36575,                0.69501,                0.87446,                0.37444,                      1,                0.69433,                0.66976,                0.39103,                 1.8799,                0.82255,             0.00094092,             0.00094092,             0.00094092
                     32,                0.38981,                0.64934,                0.87967,                0.37444,                      1,                0.69433,                0.66976,                0.39103,                 1.8799,                0.82255,             0.00095677,             0.00095677,             0.00095677
                     33,                0.50241,                0.76233,                0.90731,                0.50332,                0.84784,                0.78679,                 0.5949,                0.65916,                 2.7655,                 1.0475,             0.00096215,             0.00096215,             0.00096215
                     34,                0.42296,                0.74904,                0.87969,                0.66588,                0.44444,                0.45793,                0.30615,                0.92979,                 5.2188,                 1.3722,             0.00096215,             0.00096215,             0.00096215
                     35,                0.42557,                 0.6546,                0.88276,                 0.6496,                0.44444,                0.39992,                 0.2679,                 1.2876,                 6.5518,                 1.8072,               0.000948,               0.000948,               0.000948
                     36,                 0.4155,                0.69468,                0.88845,                 0.6496,                0.44444,                0.39992,                 0.2679,                 1.2876,                 6.5518,                 1.8072,             0.00093385,             0.00093385,             0.00093385
                     37,                 0.4086,                0.73791,                0.90047,                0.26461,                0.60855,                0.57723,                0.42546,                0.75482,                 7.8296,                 1.2822,              0.0009197,              0.0009197,              0.0009197
                     38,                0.54614,                   0.82,                 0.9309,                0.44701,                0.76576,                0.54309,                0.49109,                0.60528,                 3.3952,                0.94082,             0.00090556,             0.00090556,             0.00090556
                     39,                0.42057,                0.68041,                0.87323,                0.69676,                0.77778,                0.69049,                0.64214,                0.44357,                 1.6088,                0.87918,             0.00089141,             0.00089141,             0.00089141
                     40,                 0.3536,                0.86721,                0.89671,                0.69676,                0.77778,                0.69049,                0.64214,                0.44357,                 1.6088,                0.87918,             0.00087726,             0.00087726,             0.00087726
                     41,                0.35761,                0.64963,                0.87632,                0.46575,                0.77504,                0.62551,                0.56994,                0.41481,                 1.6828,                0.87288,             0.00086312,             0.00086312,             0.00086312
                     42,                0.35799,                0.56836,                0.87586,                0.42696,                0.77778,                0.67188,                0.60424,                0.41156,                 1.6962,                0.86416,             0.00084897,             0.00084897,             0.00084897
                     43,                0.26057,                 3.3244,                 0.5811,                 0.8223,                0.59871,                0.79071,                0.69677,                0.44031,                 1.4941,                0.88497,             0.00083482,             0.00083482,             0.00083482
                     44,                0.41599,                0.66897,                0.86985,                 0.8223,                0.59871,                0.79071,                0.69677,                0.44031,                 1.4941,                0.88497,             0.00082067,             0.00082067,             0.00082067
                     45,                0.38935,                0.71229,                 0.8846,                0.69417,                0.86741,                  0.834,                0.77387,                0.43539,                 1.2183,                0.91182,             0.00080653,             0.00080653,             0.00080653
                     46,                0.44557,                0.82517,                0.89768,                0.68908,                 0.7788,                0.85971,                0.80442,                0.42294,                 1.1184,                0.91569,             0.00079238,             0.00079238,             0.00079238
                     47,                0.37641,                0.74995,                0.84655,                0.86503,                0.79575,                 0.8982,                0.84934,                0.44501,                 1.1341,                0.92589,             0.00077823,             0.00077823,             0.00077823
